Issue key,Issue id,Project Manager,Status,Priority,Marketing Need,Business Impact,Summary,Customer Interest,Product,Product Manager
SLE-20623,490507,LMartin,In Progress,Must Have,High,Medium,"hanadb_exporter: Support for AWS Secure Store, HANA Scale-out Installations and SSL enforced HANA Connections",Medium,SUSE Linux Enterprise Server for SAP Applications 15 SP4,cholsing
SLE-21139,492201,LMartin,In Progress,Must Have,Medium,High,[NONCODE] QA: HANA HA test automation,Medium,SUSE Linux Enterprise Server for SAP Applications 15 SP4,a_jaeger
SLE-21612,493885,msmeissn,Released,Could Have,Medium,Low,Update libgphoto to 2.5.27,Medium,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-20013,488320,suntorytimed,Rejected,Must Have,Low,Low,gpgme upgrade,Medium,SUSE Linux Enterprise Desktop 15 SP4,sbehlert
SLE-19965,488053,fcrozat,In Progress,Should Have,Medium,,Tech Preview to enable Wayland on the latest Nvidia proprietary driver.,,SUSE Linux Enterprise Desktop 15 SP4,sbehlert
SLE-22829,502939,fcrozat,In Progress,Should Have,Low,,request for libXfixes update because of GNOME 41 update.,,SUSE Linux Enterprise Desktop 15 SP4,sbehlert
SLE-22827,502937,fcrozat,TPM Evaluates,Should Have,Low,,Request to update upower to support GNOME 41 update.,,SUSE Linux Enterprise Desktop 15 SP4,sbehlert
SLE-20650,490765,fcrozat,TPM Evaluates,Must Have,Low,Low,use suse.com infrastructure for NetworkManager connection detection,Low,SUSE Linux Enterprise Desktop 15 SP4,sbehlert
SLE-21112,492165,suntorytimed,In Progress,Could Have,Low,,Update lcms2,,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-21110,492163,suntorytimed,In Progress,Should Have,Low,,Update argyllcms,,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-21105,492158,suntorytimed,In Progress,Wish to Have,Low,,"Cleanup task: Drop translation-update-upstream, translation-update and gnome-patch-translation",,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-21104,492157,suntorytimed,In Progress,Should Have,Low,,Update desktop-file-utils,,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-21103,492156,suntorytimed,In Progress,Should Have,Low,,Update potrace and pstoedit,,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-21099,492152,suntorytimed,In Progress,Should Have,Low,,Update xscreensaver,,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-21559,493650,suntorytimed,In Progress,Could Have,Low,,Update libEMF in SLE-15-SP4 to 1.0.13,,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-21555,493587,suntorytimed,In Progress,Should Have,Low,,update colord-gtk,,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-22488,500062,fcrozat,TPM Evaluates,Could Have,Medium,Low,Update hplip to Factory version,Medium,SUSE Linux Enterprise Desktop 15 SP4,msvec
SLE-22171,496955,LPechacek,Rejected,Could Have,Medium,Medium,"Add the ""amd-pstate"" frequency scaling driver to SLE-15-SP4",,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22156,496791,gameboy974,In Progress,Must Have,Low,Medium,Supportability matrix for SLE containers on SLE hosts (15 SP4),Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22147,496760,horon,In Progress,Should Have,High,Medium,IBM Power 10 released - website updates,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22145,496710,aherzig,TPM Evaluates,Must Have,High,Medium,BCI/UBI parity,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22142,496677,suntorytimed,TPM Evaluates,Should Have,Low,Low,document tech previews in SLE better,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22137,496650,aginies,In Progress,Should Have,Medium,,[HPC] provide latest stable version of spack,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22134,496591,aherzig,In Progress,Should Have,High,High,Publish SLE BCI minimal image,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21826,494751,fcrozat,In Progress,Must Have,Low,Low,Update fuse3 to the version >= 3.9.1,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-21743,494541,suntorytimed,Rejected,Could Have,Low,,usersubstr check functonality backport to pam_cracklib on SLES15SP4,Very High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21707,494492,msmeissn,TPM Evaluates,Must Have,Medium,Low,ship gswrap as ghostscript wrapper,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21696,494452,Jeffreycheung,Rejected,Should Have,Medium,,Update OPAE package to latest mainline/factory version,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21695,494405,suntorytimed,Rejected,Could Have,,,systemd portable services,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21679,494379,suntorytimed,In Progress,Could Have,Low,,Update libfastjson to 0.99.9,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21678,494378,suntorytimed,In Progress,Should Have,Medium,Medium,Update bind to 9.16.20,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21677,494377,suntorytimed,In Progress,Could Have,Low,Low,Update hwloc to 2.5.0,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21676,494376,suntorytimed,In Progress,Could Have,Low,Low,Update gptfdisk to 1.0.8,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21675,494375,suntorytimed,In Progress,Wish to Have,Medium,Low,Update genwqe-tools to 4.0.20,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21674,494374,suntorytimed,In Progress,Should Have,Low,Medium,Update grub to 2.0.6,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21673,494373,suntorytimed,In Progress,Should Have,Low,Medium,Update dracut to 055,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21672,494369,suntorytimed,TPM Evaluates,Could Have,Low,Low,Include python3-libmount in SLE,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21668,494358,a_faerber,In Progress,Should Have,Medium,Low,"Enable TI TDA4VM (J721E) automotive platform for ""QMLinux"" use case",Low,SUSE Linux Enterprise Server 15 SP4,joachimwerner
SLE-21667,494300,aginies,Rejected,Could Have,Medium,Medium,Support SLES in a qemu sbsa-ref machine,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-21645,494214,ihno,Ready to release,Should Have,Medium,High,New package request: Add zDNN low-level driver library,High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21644,494213,horon,TPM Evaluates,Must Have,High,High,Remove yast2-kdump tool hardlimit on crashkernel value,High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-21606,493867,gameboy974,TPM Evaluates,Should Have,Medium,Low,Move helm to the containers module,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21579,493691,suntorytimed,In Progress,Must Have,Low,Low,Convert the SCA Tool to Python3,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21576,493688,aherzig,TPM Evaluates,Must Have,Medium,Medium,Support SLE containers on VMware Tanzu,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-21848,494800,horon,In Progress,Must Have,High,High,Avoid the need to reload kdump service on CPU DLPAR operations (kernel part),High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-21844,494784,a_faerber,In Progress,Should Have,High,Medium,Driver for Firmware Framework (FF) for Arm A-profile processors,High,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-20373,489909,lkocman,In Progress,Could Have,Medium,,Update zchunk and zstd,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20408,489949,lkocman,In Progress,Could Have,High,Medium,Create a WSL Landing and documentation page,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20407,489948,lkocman,TPM Evaluates,Could Have,Medium,,Feature development on WSL-DistroLauncher,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20406,489947,lkocman,In Progress,Could Have,Medium,,Install Microsoft Terminal shortcuts (JSON definitions) with WSL-DistroLauncher,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20403,489941,Jeffreycheung,Ready to release,Could Have,Medium,,Update tmon package to latest factory/mainline sources,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20402,489940,Jeffreycheung,Ready to release,Should Have,Medium,,Update freeipmi package to latest factory/mainline sources,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20401,489939,Jeffreycheung,Ready to release,Should Have,Medium,,Update ipmitool package to latest factory/mainline version,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20400,489938,Jeffreycheung,Ready to release,Should Have,Medium,,Update rasdaemon package to latest factory/mainline version,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20413,489954,suntorytimed,TPM Evaluates,Could Have,Low,,YaST2: Handle firstboot WSL-specific tasks,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20297,489536,msmeissn,TPM Evaluates,Should Have,High,High,support more chinese cryptographic ciphers,High,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-20295,489533,msmeissn,In Progress,Should Have,Low,Medium,Add usbguard to SLES 15 SP4,Medium,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-20293,489531,msmeissn,Rejected,Should Have,Medium,,Rootkit detection from the Installer boot menu,,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-20287,489525,msmeissn,In Progress,Could Have,Medium,,4C - Centralized Crypto Compliance Configuration,,SUSE Linux Enterprise Server 15 SP4,ktrepte
SLE-20276,489506,suntorytimed,In Progress,Wish to Have,Low,Medium,Update cronie to 1.5.7 and add debianutils,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20275,489505,suntorytimed,Ready to release,Should Have,Medium,Medium,cryptsetup update to 2.4.0,High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22967,503758,fcrozat,Rejected,Should Have,Medium,High,Update mutter packages for key embedded partner for SLES 15 SP4,Very High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-22309,498688,Jeffreycheung,Ready to release,Should Have,,,hpwdt driver update to latest upstream version,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-22308,498686,Jeffreycheung,Ready to release,Should Have,,,hpilo driver update to latest upstream version,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-22300,498357,aginies,In Progress,Wish to Have,Medium,,Support virtual instances up to 24TB and 8192 vcpus,,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-22385,499592,aginies,In Progress,Should Have,Medium,Medium,Add open-vm-tools to SLES aarch64 build,Medium,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-20518,490274,suntorytimed,In Progress,Should Have,Medium,,Migration from SLE 11 to SLE 15 SP4 no longer supported,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20498,490174,a_faerber,Ready to release,Could Have,Medium,Low,Enable Audio support for Tegra SOCs,Medium,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-20497,490173,a_faerber,Ready to release,Could Have,Medium,Low,Enable QSPI driver for Tegra SoCs,Medium,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-20530,490301,suntorytimed,In Progress,Could Have,Low,,Add Pandoc and required Dependencies to the Build Environment,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20526,490295,msmeissn,Ready to release,Could Have,Medium,,Support of the PKCS#11 interface library for TPM 2.0 hardware,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20437,490083,suntorytimed,In Progress,Should Have,Medium,,Parallelizing operations during package installation,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20426,490052,fcrozat,TPM Evaluates,Wish to Have,,,Upgrade plymouth to 20201026+53c83cc,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20425,490051,fcrozat,TPM Evaluates,Wish to Have,,,Upgrade ibus >= 1.5.24 and all necessary ibus engines.,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20308,489664,suntorytimed,In Progress,Should Have,Low,Medium,"Java JDK Technology Compatibility Kit (TCK) Request, IBM Java 11",High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20307,489663,suntorytimed,Rejected,Should Have,Medium,High,password-less boot with full disk encryption with password/key stored in TPM,Very High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20310,489667,LPechacek,Rejected,Should Have,,,Provide full premption with kernel-default,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20309,489666,fcrozat,In Progress,Must Have,Low,,remove udev dependency in systemd main package,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20339,489712,suntorytimed,In Progress,Should Have,Low,Low,net-snmpd - fix config data location to comply w/ FHS (bsc #1181591),Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20338,489710,suntorytimed,TPM Evaluates,Could Have,Low,,KIWI: Conditionally include packages in image definition,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20336,489708,Jeffreycheung,Ready to release,Should Have,Medium,,Update numactl package to latest mainline/factory version,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20335,489707,suntorytimed,In Progress,Could Have,Medium,,"Tuned is an important package, especially for SLE for SAP",,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20353,489734,msmeissn,In Progress,Should Have,Medium,Medium,dnsmasq update to 2.83,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20352,489730,suntorytimed,Rejected,Should Have,Low,Medium,XFS multi threads file allocation function generates misalignment segment in allocation group,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20348,489723,suntorytimed,In Progress,Should Have,Low,,Deprecate mkinitrd wrapper and fix distro tools to use dracut directly (15 SP4),,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20346,489721,suntorytimed,In Progress,Should Have,Low,,Avoid enabling/starting YaST2 modules when there are missing dependencies,High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20355,489749,lkocman,In Progress,Could Have,Low,,Create a WSL pattern or metapackage,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20354,489746,gameboy974,In Progress,Could Have,High,,Renaming JeOS to Minimal-VM and Minimal-Image or just Minimal,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19779,487584,aginies,In Progress,Could Have,Low,,[qemu] Make QEMU guests more failsafe when resizing SCSI passthrough disks,High,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-19765,487509,msmeissn,Ready to release,Must Have,Low,Medium,Update libnettle and gnutls to new major versions,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-19764,487508,fcrozat,Rejected,Must Have,Low,Medium,Update Qt to 5.15 LTS,High,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-19763,487506,suntorytimed,TPM Evaluates,Could Have,,,KIWI: support XML templating for variable substitution,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19762,487505,suntorytimed,In Progress,Wish to Have,Low,,"WSL Team: Move templating of AppxManifest.xml to KIWI templated definition, package wsl-appx becomes static metadata assets only",,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19761,487504,suntorytimed,TPM Evaluates,Could Have,,,WSL KIWI: Specify build time only dependencies equivalent to BuildRequires,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19760,487503,suntorytimed,TPM Evaluates,Could Have,,,KIWI: support AppxManifest.xml snippets in KIWI image definition,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19759,487502,suntorytimed,TPM Evaluates,Could Have,,,KIWI: support AppxManifest.xml validation via msix-packaging XSD schema definitions,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19758,487501,suntorytimed,TPM Evaluates,Could Have,,,KIWI: support msix image format using Microsoft MSIX SDK,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19752,487494,gameboy974,TPM Evaluates,Must Have,Low,Medium,[Docker] Fix handling of multiple networks having the same name (SAP patch),Very High,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-19743,487479,suntorytimed,In Progress,Should Have,Medium,Medium,Update systemd to v249+,High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19742,487470,msmeissn,TPM Evaluates,Could Have,Medium,,Backport Arm openssl 3 improvements to openssl 1.1.1k,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19734,487453,ta-ro,In Progress,Should Have,Low,Low,"Enhance documentation for Kerberos, esp. Debug Option",High,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-19733,487452,aginies,In Progress,Should Have,Low,Low,[hyper-v] Enable DRM driver for hyperv,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19732,487450,suntorytimed,TPM Evaluates,Should Have,Medium,Low,Updating AutoYaST configuration file for next run,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19689,487322,Jeffreycheung,Ready to release,Should Have,,,Support ACPI PMTT ,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-19686,487309,Jeffreycheung,Rejected,Should Have,,,qlnativefc:  update driver to latest upstream version,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-19683,487306,rtsvetkov,Rejected,Should Have,,,Redfish Requirements from HPE,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-19652,487190,Jeffreycheung,In Progress,Should Have,,,ACPI 6.4 Support,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-19651,487188,Jeffreycheung,In Progress,Should Have,,,ACPI NFIT/HMAT Updates,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-19650,487187,Jeffreycheung,Rejected,Should Have,,,SCI GHES v2,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-19648,487166,LPechacek,Ready to release,Should Have,Medium,,Switch to compressed firmware files in SLE,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19640,487153,msmeissn,In Progress,Must Have,Low,Medium,Update openssl 1.1.1 to current stable  release,High,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20068,488853,suntorytimed,In Progress,Must Have,Low,Medium,Using user/group negation in sudoers.ldap doesn't work,High,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20064,488687,LPechacek,Ready to release,Must Have,Medium,Medium,"AMD Genoa - Support BFloat16, AVX3-512, and other ISA extensions",Medium,SUSE Linux Enterprise Server 15 SP4,LanceOrtiz
SLE-20063,488685,aginies,In Progress,Should Have,High,Medium,[KVM] Deliver VMDP drivers for windows as containers,Low,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-20056,488599,horon,In Progress,Must Have,High,High,PowerVM: Multiqueue support for ibmvfc scsi driver (NPIV),High,SUSE Linux Enterprise Server 15 SP4,mcowley
SLE-20055,488596,suntorytimed,TPM Evaluates,Could Have,Medium,Medium,Request to include a new package: redfish-finder,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20054,488595,Jeffreycheung,TPM Evaluates,Must Have,High,High,efibootmgr: Include support for creating and displaying NVMe-oF TCP device paths,High,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20048,488562,aginies,In Progress,Wish to Have,Low,,[DOC] dracut modules with virtualization drivers,,SUSE Linux Enterprise Server 15 SP4,ykornilov
SLE-20043,488554,rtsvetkov,In Progress,Should Have,Medium,Low,Support switching DFS target servers without unmounting and remounting cifsfs,High,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20040,488551,suntorytimed,Rejected,Must Have,Low,Low,upgrade sysuser-tools,Low,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20039,488550,fcrozat,In Progress,Must Have,Low,Low,libxkbcommon upgrade,Low,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20022,488366,suntorytimed,Ready to release,Must Have,Low,Low,upgrade polkit-default-privs,Low,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20021,488365,suntorytimed,In Progress,Must Have,Low,Low,ship python36-dataclasses,Low,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20017,488350,suntorytimed,Ready to release,Must Have,Low,Low,rpm macros from rpm 4.15,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20016,488323,suntorytimed,In Progress,Must Have,Low,Medium,upgrade keyutils >= 1.6.0,Low,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20015,488322,suntorytimed,In Progress,Must Have,Low,Medium,udisks2 upgrade,Low,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20014,488321,suntorytimed,In Progress,Must Have,Low,Low,gpgme upgrade,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20012,488317,suntorytimed,In Progress,Must Have,Low,Low,upgrade icu >= 67.1,Low,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20011,488316,fcrozat,Rejected,Must Have,Low,Low,ship xorgproto package,Low,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20005,488164,LPechacek,Ready to release,Should Have,,,[SLES15 SP4] Eagle Stream Platform Support,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20001,488156,Jeffreycheung,Ready to release,Should Have,,,PCIe Link Encryption,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-19995,488127,Jeffreycheung,In Progress,Should Have,Medium,,Implement ACPI v6.4,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-19993,488125,Jeffreycheung,TPM Evaluates,Could Have,,,Recovery OS through new HTTP network stack in UEFI,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-19992,488124,suntorytimed,Rejected,Should Have,,,Redfish Implementation,,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-19968,488057,suntorytimed,TPM Evaluates,Could Have,,,maintain rpmlint properly,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19967,488056,suntorytimed,In Progress,Should Have,Low,Low,Update python-rpm-macros,Low,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-19966,488055,fcrozat,In Progress,Must Have,Low,Medium,gstreamer update 1.20.x,High,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20185,489220,Jeffreycheung,In Progress,Could Have,Medium,Medium,Include support for TLSv1.3 in Linux Kernel to support NVMe-oF Encryption - TP 8011,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20184,489219,Jeffreycheung,In Progress,Must Have,Medium,High,NVMe: Include libnvme package in SLES 15 SP4,High,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20183,489216,Jeffreycheung,In Progress,Could Have,Medium,Medium,NVMe-oF TCP: In-band authentication support - TP8006,Medium,SUSE Linux Enterprise Server 15 SP4,sbehlert
SLE-20180,489209,suntorytimed,Ready to release,Should Have,Low,Medium,Test Epic for TL Evaluation Demo,Medium,SUSE Linux Enterprise Server 15 SP4,suntorytimed
SLE-20148,489019,a_faerber,Ready to release,Could Have,Medium,Medium,ISP1763 support - MPS3 USB kernel driver,Medium,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-20100,488900,lkocman,In Progress,Could Have,Low,,Cobbler/Pulp repo manager - drpm support,,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20098,488897,a_faerber,TPM Evaluates,Could Have,Medium,Low,Support Kunpeng CPU core isolation on error,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20097,488896,a_faerber,TPM Evaluates,Should Have,Low,Low,Huawei Kunpeng PMU new driver and perf event update,Low,SUSE Linux Enterprise Server 15 SP4,kdupke
SLE-20096,488895,a_faerber,TPM Evaluates,Should Have,Medium,Medium,Huawei Kunpeng IOMMU update,Medium,SUSE Linux Enterprise Server 15 SP4,msvec
SLE-20078,488873,Jeffreycheung,Rejected,Should Have,,,CXL Support (.IO) v1.1. and v 2.0,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-20074,488869,Jeffreycheung,Rejected,Should Have,,,Range Encryption,,SUSE Linux Enterprise Server 15 SP4,sahmad
SLE-19925,487751,Jeffreycheung,Rejected,Could Have,,,AMD SEV-SNP Host support,,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-19924,487750,Jeffreycheung,In Progress,Could Have,,,AMD SEV-SNP Guest support,,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-19923,487749,Jeffreycheung,Ready to release,Should Have,High,High,AMD SEV-ES Host support,High,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-19922,487745,Jeffreycheung,Ready to release,Could Have,High,Medium,AMD GPU Dimgrey Cavefish support,High,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-19921,487744,Jeffreycheung,Ready to release,Could Have,High,Medium,AMD GPU Beige Goby support,High,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-19920,487743,Jeffreycheung,Ready to release,Could Have,High,Medium,AMD GPU Yellow Carp support,High,SUSE Linux Enterprise Server 15 SP4,drdavis
SLE-19919,487742,Jeffreycheung,Ready to release,Could Have,High,Medium,AMD GPU Green Sardine support,High,SUSE Linux Enterprise Server 15 SP4,drdavis
