Issue key;Issue id;Custom field (Project Manager);Assignee;Status;Priority;Custom field (Marketing Need);Custom field (Team Leader);Custom field (Worker);Custom field (Business Impact);Custom field (Product Impact);Summary;Custom field (Customer Interest)
SLE-21886;495182;fcrozat;;Planning;Could Have;;;none;;N/A;Dev: Find a proper alternative to the hack that prevents the creds to be requested when the power button is pressed within GNOME;
SLE-21737;494530;rtsvetkov;;Planning;Should Have;;;none;;N/A;Dev: Request for new rsyslog version (8.2104.0);
SLE-21735;494528;msmeissn;;Planning;Must Have;;;none;;N/A;Dev: ship gswrap as ghostscript wrapper;
SLE-20866;491260;;;Planning;Must Have;;;none;;N/A;Dev: [kernel] Add zstd compression for initramfs;
SLE-19574;486873;;;Rejected;Could Have;;;none;;N/A;Dev: CPU Features: Provide linux kernel support for performing Scan At Field in SPR;
SLE-22282;498081;LMartin;;Rejected;Must Have;;;none;;N/A;Dev: Deprecate yast2 saptune module;
SLE-22280;498079;LMartin;;Planning;Must Have;;;none;;N/A;Dev: [NONCODE] QA: HANA HA test automation;
SLE-22276;498073;LMartin;;Planning;Must Have;;;none;;N/A;"Dev: hanadb_exporter: Support for AWS Secure Store, HANA Scale-out Installations and SSL enforced HANA Connections";
SLE-22254;498051;LMartin;;Done;Must Have;;;none;;N/A;Dev: [Scale-Out] MVP: Multi-target replication;
SLE-22246;497969;suntorytimed;PSuarezHernandez;Done;Could Have;;;none;;N/A;Dev: Update Salt to latest release version (3003.3) in 15 SP4;
SLE-21592;493777;suntorytimed;;Done;Should Have;;;none;;N/A;Dev: DNF stack update;
SLE-21585;493707;Jeffreycheung;Jeffreycheung;Done;Could Have;;;none;;N/A;Dev: Include python-dasbus pacakge in SLES 15 SP4;
SLE-21549;493516;aginies;;Planning;Could Have;;;none;;N/A;Dev: HPC : Feature: High Performance Networking - Ethernet Fast Fabric;
SLE-21544;493511;aginies;NMoreyChaisemartin;Done;Could Have;;;none;;N/A;Dev: HPC: Update support for Open Fabrics Interfaces library (OFI);
SLE-21538;493503;suntorytimed;;Planning;Should Have;;;none;;N/A;Dev: bump stunnel to 5.59 ;
SLE-19592;486924;;;Planning;Could Have;;;none;;N/A;Dev: Vagrant update to 3.x (or 2.x);
SLE-19974;488063;;;In Progress;Could Have;;;none;;N/A;Dev: Add fail2ban  in SLE instead of PackageHub;
SLE-19772;487573;;sfent;Planning;Should Have;;;;;N/A;Dev: Make it possible to release a lease;
SLE-19770;487569;;sfent;Planning;Should Have;;;;;N/A;Dev: It should be possible to force a lease refresh with wicked;
SLE-20677;490839;;SchoolGuy;Planning;Could Have;;;none;;N/A;Dev: Cobbler/Pulp repo manager - drpm support;
SLE-20392;489930;;alix82;Planning;Could Have;;;none;;N/A;Dev: Update zchunk and zstd;
SLE-20998;491718;;sbradnick;Planning;Could Have;;;none;;N/A;Dev: WSL: Consider switching from fb-utils-appx to appx-util;
SLE-20947;491511;;;Planning;Could Have;;;none;;N/A;Dev: Add Pandoc and required Dependencies to the Build Environment;
SLE-21949;495786;suntorytimed;;In Progress;Should Have;;;none;;Medium;Dev: Update grub to 2.0.6;
SLE-21635;494166;aginies;;Planning;Could Have;;;none;;N/A;Dev: add support for SPICE guest agent in installer;
SLE-15435;440406;;;Open;Could Have;;;;;N/A;Dev: Investigate login node improvements - Remote Desktop Apps;
SLE-16437;443955;;;Planning;Should Have;;;;;;Dev: Secure NFS RPC with TLS;
SLE-16385;443701;;;Planning;Must Have;;;;;N/A;Dev: Overhaul ReaR to work independent of kernel device names;
SLE-16721;446451;;;Planning;Could Have;;;;;N/A;Dev: set PERMISSION_SECURITY via control file;
SLE-17056;450398;;;Planning;Should Have;;;;;;Dev: 11 SP4 Power BE support till 2025;
SLE-16221;443183;;;Planning;Could Have;;;;;N/A;Dev: Investigate login node improvements - Remote Desktop Apps;
SLE-18306;481956;;favogt;Planning;Should Have;;;none;;N/A;Dev: Adding a new welcome screen for jeos-firstboot in all console;
SLE-18219;481352;;;Planning;Must Have;;;none;;;Dev:  Add upstream PR to aws-vpc-move-ip and apply required resource & fence agent patches;
SLE-17407;456459;;;Planning;Could Have;;;;;;Dev: add saptune v2 to the sap-* patterns on ppc64le;
SLE-17402;456165;;;Planning;Must Have;;;;;;Dev: Priority fencing delay to make more significant node win fencing match under 2-node split-brain;
SLE-10459;408650;;;In Progress;Should Have;;;;;;Dev: Add container-diff to SLE12 containers module;
SLE-6815;389981;;;Open;Should Have;;;;;;Dev: dpdk package for SLES 12 SP4;
SLE-9289;404474;;;Open;Wish to Have;;;;;N/A;Dev: JeOS VMware flavor with cloud-init support;
SLE-11166;414751;;;Open;Must Have;;;;;;"Dev: Btrfsmaintenance review (SLE* 12 SP2, SP3, SP4)";
SLE-22680;502432;rtsvetkov;;Rejected;Should Have;;;none;;N/A;Dev: XFS deprecates V4 format;
SLE-22695;502499;aginies;;Open;Must Have;;;charlesa;;N/A;Dev: Virtualized TPM (vTPM) support in the context of Windows 2022 SVVP - Xen;
SLE-22406;499698;aherzig;dancermak;Blocked;Should Have;;;none;;N/A;Dev: BCI: Perl Language Container ;
SLE-22702;502561;aginies;;Planning;Should Have;;;none;;N/A;Dev: Refresh 'spack' to 0.17;
SLE-22446;499738;aherzig;dancermak;Open;Could Have;;;none;;N/A;Dev: Create a BCI image for Busybox;
SLE-22708;502603;gameboy974;;Planning;Should Have;;;none;;N/A;Dev: Enable AppArmor by default on JeOS images;
SLE-22722;502667;aginies;;Planning;Must Have;;;none;;N/A;Dev: Virtualized TPM (vTPM) support in the context of Windows 2022 SVVP - KVM;
SLE-22741;502717;aginies;;In Progress;Should Have;;;none;;N/A;"Dev: [HPC] open firewall port for munge, slurm, dolly";
SLE-22138;496661;aginies;;In Progress;Should Have;;;none;;N/A;Dev: HPC: update packages to latest version;
SLE-22520;500579;aginies;;In Progress;Could Have;;;none;;N/A;Dev: CPU Features: AMX (TMUL) - KVM and qemu;
SLE-21731;494524;rtsvetkov;scabrero;Done;Could Have;;;scabrero;;Low;"Dev: New option for adcli : ""--dont-expire-password=yes|no|true|false""";
SLE-22176;497075;ihno;;Done;Must Have;;;none;;N/A;"Dev: Enable graphical distro installer to run natively with virtio-gpu (YaST, suse-module-tools)";
SLE-22825;502923;LMartin;;Planning;Must Have;;;none;;N/A;Dev: Deliver Trento agent to SLES4SAP;
SLE-22633;501207;a_faerber;ptesarik;Planning;Should Have;;ptesarik;none;;N/A;"Dev: Enable TI TDA4VM (J721E) automotive platform for ""QMLinux"" use case";
SLE-22626;501191;aginies;;Planning;Should Have;;fsundermeyer;;;N/A;Dev: Deprecate LXC / libvirt-lxc / virt-bootstrap  (SLE 15 SP4);
SLE-22579;500901;suntorytimed;rwill;Open;Should Have;;BenniBrunner;rwill;;N/A;Dev: Update Efibootmgr to v17+;
SLE-22666;501476;horon;;Planning;Must Have;;ptesarik;none;;N/A;Dev: Power guest secure boot with static keys: support for grub ELF note signature in pesign-obs-integration (crypto);
SLE-22602;501108;holgisms;poswald;Planning;Must Have;;hreinecke;none;;N/A;Dev: Add NVIDIA BlueField-3 support along with 1 and 2;
SLE-22570;500814;suntorytimed;;Open;Should Have;;Neyleah;gyribeiro;;Low;Dev: Customer Requests to include the package libibn-tools again in SLES15SP4;
SLE-22561;500796;msmeissn;;Planning;Could Have;;kstreitova;;;N/A;Dev: 4C - Centralized Crypto Compliance Configuration - Apache2;
SLE-22558;500790;horon;;Planning;Should Have;;rjschwei;none;;N/A;Dev: inclusion of reset_rmc module for SLES packaged cloudinit;
SLE-22532;500595;suntorytimed;;Planning;Wish to Have;;lrupp;none;;N/A;Dev: [OBS] Change spec style for util-linux from multi-spec to multibuild;
SLE-22528;500591;suntorytimed;;Planning;Wish to Have;;kstreitova;none;;N/A;Dev: [packaging] Change spec style for util-linux from multi-spec to multibuild;
SLE-22524;500583;suntorytimed;;Planning;Should Have;;j_renner;none;;N/A;Dev: document tech previews in SLE better;
SLE-22515;500574;suntorytimed;adamm;In Progress;Should Have;;bruclik;none;;N/A;Dev: Update squid to current stable branch in SLE15 SP4;
SLE-22512;500571;suntorytimed;firstyear;In Progress;Should Have;;jmcdough;none;;N/A;Dev: Improve rust developer tools;
SLE-22510;500568;suntorytimed;goldwynr;Done;Should Have;;goldwynr;goldwynr;;N/A;Dev: Update btrfs-progs to v5.14;
SLE-22306;498672;a_faerber;ptesarik;Planning;Could Have;;ptesarik;;;N/A;Dev: Support Unified/User-space-access-intended Accelerator (uacce) Framework;
SLE-22354;499150;Jeffreycheung;Jeffreycheung;In Progress;Could Have;;anicka;Jeffreycheung;;N/A;Dev: Deprecate opa-fmgui;
SLE-22352;499138;Jeffreycheung;fstrba;Done;Wish to Have;;bruclik;fstrba;;N/A;Dev: Include package - keycloak;
SLE-22349;499125;LPechacek;;Rejected;Could Have;;mhocko;none;;N/A;"Dev: Add the ""amd-pstate"" frequency scaling driver to SLE-15-SP4";
SLE-22183;497100;ihno;;Done;Should Have;;sfent;markkp;;N/A;Dev: New package request: Add zDNN low-level driver library;
SLE-22180;497089;jsrain;;Done;Should Have;;locilka;;;N/A;Dev: Support NTLM authentication in the Unified Installer;
SLE-22175;497057;suntorytimed;;Planning;Should Have;;BenniBrunner;none;;N/A;Dev: [systemd] Improved booting from remote disks;
SLE-22174;497056;suntorytimed;;Planning;Should Have;;BenniBrunner;none;;N/A;Dev: [dracut] Improved booting from remote disks;
SLE-22172;496957;horon;;Blocked;Must Have;;locilka;none;;N/A;Dev: Remove yast2-kdump tool hardlimit on crashkernel value;
SLE-19369;486148;;;Open;Could Have;;claudiofontana;vulyanov;;N/A;Dev: KubeVirt 15SP4;
SLE-19353;486108;;tsbogend;Open;Should Have;;hreinecke;tsbogend;;Medium;Dev: Emulex ocrdma: update driver to the latest upstream version;
SLE-19351;486105;;tdz;Done;Should Have;;ptesarik;tdz;;N/A;Dev: Matrox G200 eH3 driver: update to the latest upstream version;
SLE-19345;486098;;dkirjanov;Open;Should Have;;hreinecke;dkirjanov;;Medium;Dev: Intel e1000: update driver to latest upstream version;
SLE-19342;486093;;;Planning;Could Have;;ptesarik;none;;N/A;Dev: FPGA Phase 5 driver upstream;
SLE-19339;486090;;;Planning;Could Have;;ptesarik;none;;N/A;Dev: Intel Dynamic Load Balancer 2.0 device driver support;
SLE-19334;486085;;;Planning;Could Have;;ptesarik;none;;N/A;Dev: Other Component: Add support for SoftSKU;
SLE-19330;486078;;jones_tony;Done;Could Have;;mgorman;none;;N/A;Dev: perf: SPR PMU Support: Uncore Events;
SLE-19328;486076;;bpetkov;Rejected;Could Have;;mhocko;none;;N/A;Dev: TDX Guest: TDX kernel hardening feature;
SLE-19326;486074;;;Blocked;Could Have;;mhocko;none;;N/A;Dev: IOMMU: IOMMU driver support for for vIOMMU and vSVM;
SLE-19324;486072;;bpetkov;Rejected;Could Have;;mhocko;none;;Medium;Dev: TDX Boot Time: Convert as 2MB pages;
SLE-19322;486070;;;Rejected;Could Have;;claudiofontana;none;;N/A;Dev: TDX Guest: TDX guest fuzzing feature;
SLE-19320;486068;;colyli;Open;Could Have;;hreinecke;colyli;;Medium;Dev: Crystal Ridge: map out PMEM when not in use by the driver;
SLE-19318;486066;;tiwai;Rejected;Could Have;;ptesarik;tiwai;;N/A;Dev: DSA: IDXD (DSA) driver stage 2.5;
SLE-19316;486063;;;Blocked;Could Have;;mhocko;none;;Medium;Dev: IOMMU: Shared Virtual Memory support for Virtualization (vSVM);
SLE-19314;486061;;;Rejected;Could Have;;ptesarik;none;;N/A;Dev: DSA: Enable and measure peformance for DSA enabling via pmem block driver.;
SLE-19312;486059;;;Rejected;Could Have;;ptesarik;none;;N/A;"Dev: DSA, PCI: SVA Enabling of DSA for kernel NTB driver with direct kernel API";
SLE-19310;486057;;bpetkov;Rejected;Could Have;;mhocko;none;;N/A;Dev: RAS: Emerald Rapids EDAC driver CXL topology implementation;
SLE-19284;485917;;fweisbec;In Progress;Must Have;;mhocko;none;;N/A;Dev: Further converge preempt kernel mode;
SLE-19238;485855;;;Open;Could Have;;claudiofontana;olh;;N/A;"Dev: kdump: makedumpfile, shrink Xen DomU dumps";
SLE-19236;485853;;;In Progress;Must Have;;claudiofontana;kallan;;N/A;Dev: VMDP: Support Microsoft Windows 2022 Server;
SLE-19233;485750;;;In Progress;Must Have;;locilka;;;Medium;Dev: Install OS to optimized storage device/s;
SLE-19231;485664;;tdz;Open;Should Have;;ptesarik;tdz;;N/A;Dev: DRM support on vesafb and efifb;
SLE-19223;485656;;joeyli;Done;Could Have;;joeyli;none;;N/A;Dev: Backported ACPI patches from newer mainline kernel;
SLE-19221;485654;;joeyli;Done;Could Have;;joeyli;none;;N/A;Dev: Backported keyring patches from newer mainline kernel;
SLE-19219;485652;;acho;Done;Could Have;;joeyli;acho;;N/A;Dev: Update BlueZ to latest version;
SLE-19217;485650;;shunghsiyu;Done;Could Have;;joeyli;shunghsiyu;;N/A;Dev: enable BTF in kernel;
SLE-19215;485648;;;Done;Could Have;;sfent;cvoegl;;Low;Dev: Update collectd to latest in SLES15 SP4;
SLE-19207;485623;;joro;In Progress;Could Have;;mhocko;none;;Low;Dev: IOMMU: Add support in IOMMU subsystem to handle updates of NMI interrupts;
SLE-19201;485616;;jirislaby;Done;Could Have;;mhocko;none;;N/A;Dev: Power Management: pmc_core driver support for ADL;
SLE-19199;485614;;bpetkov;In Progress;Could Have;;mhocko;none;;N/A;Dev: Crystal Ridge: Use movdir64b for PMEM data transfers and error clearing;
SLE-19197;485612;;mgorman;Done;Could Have;;mhocko;none;;Medium;Dev: CPU Features: Intel Turbo Boost Max support for Hybrid platform;
SLE-19183;485598;;;Rejected;Could Have;;ptesarik;tiwai;;N/A;Dev: DSA: IDXD (DSA) Convert character device support to use UACCE framework;
SLE-19178;485560;;dspinella;Done;Could Have;;kstreitova;dspinella;;Low;Dev: DSA: upgrade accel-config to latest version.;
SLE-19176;485558;;jirislaby;Done;Could Have;;mhocko;none;;N/A;Dev: CPU Features: Ratelimit support for bus lock detection;
SLE-19172;485554;;colyli;Rejected;Could Have;;hreinecke;colyli;;Medium;Dev: Crystal Ridge: Support NVDIMM Security with CONFIG_LIBNVDIMM=y;
SLE-19166;485517;;bpetkov;Done;Could Have;;mhocko;none;;N/A;Dev: TDX Guest: Disable MTRR feature bit for guest;
SLE-19162;485513;;tiwai;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: DSA: IDXD (DSA) fix dsa_bus_type driver probe/remove;
SLE-19160;485511;;;Done;Could Have;;sfent;trenn;;Medium;Dev: Abnormal rapl/powercap values on Elkhart Lake;
SLE-19154;485505;;tiwai;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: IDXD (DSA) Remove usage of devm_* memory allocation for 'struct device' memory;
SLE-19150;485501;;tiwai;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: DSA: IDXD (DSA) add per CPU ref counting to I/O submission;
SLE-19148;485499;;tiwai;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: DSA: IDXD (DSA) Add performance monitor support to driver;
SLE-19144;485495;;;Done;Could Have;;mgorman;ggherdovich;;N/A;Dev: Performance and Scalability: Power Measurement for Idaville Platform;
SLE-19142;485493;;tiwai;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: IDXD DSA: Patches in preparation of Stage 2.5;
SLE-19134;485469;;;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: Wi-Fi 6E AX210 for Ice Lake-D (Xeon-D) Edge Server Support;
SLE-19132;485467;;trenn;Done;Could Have;;sfent;trenn;;Medium;Dev: turbostat support for Ice Lake D (Idaville);
SLE-19128;485443;;Jeffreycheung;Done;Could Have;;sfent;trenn;;Medium;Dev: [ADL-P] Need turbostat tool patch to support ADL-P;
SLE-19122;485437;;;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: Alder Lake-HX(ADL-HX) Enabling;
SLE-19120;485435;;trenn;Done;Could Have;;sfent;trenn;;Medium;Dev: Update ISST(kernel tool for Speed Select Tech) to the latest version;
SLE-19118;485433;;mvetter;In Progress;Could Have;;bruclik;mvetter;;N/A;Dev: Update PowerTop to the latest version;
SLE-19116;485431;;dkirjanov;In Progress;Must Have;;hreinecke;dkirjanov;;Low;Dev: Update bnx2x driver to obtain the latest fixes and enhancements to support the QLogic 58710 based 10Gb NIC on POWER (Marvell/QLogic);
SLE-19114;485429;;dkirjanov;Done;Must Have;;hreinecke;dkirjanov;;Low;Dev: Update be2net driver to obtain the latest fixes and enhancements to support the Broadcom be3 and Lancer based 10Gb NICs on POWER;
SLE-19112;485427;;msmeissn;In Progress;Could Have;;smanolov;msmeissn;;N/A;Dev: Update Intel processor microcode to latest version;
SLE-19110;485425;;rwill;Open;Could Have;;BenniBrunner;rwill;;N/A;Dev: Update ipmctl to the latest version;
SLE-19108;485423;;;In Progress;Could Have;;ptesarik;michals;;N/A;Dev: Update ndctl to the latest version;
SLE-19106;485421;;tsbogend;In Progress;Could Have;;hreinecke;NMoreyChaisemartin;;Medium;Dev: i40iw: Driver Update;
SLE-19104;485419;;cvoegl;Done;Could Have;;hreinecke;cvoegl;;Medium;Dev: Update PMDK to the latest version;
SLE-19102;485417;;;Done;Could Have;;sfent;trenn;;Medium;Dev: Update mcelog to the latest version;
SLE-19100;485415;;tsbogend;In Progress;Could Have;;hreinecke;tsbogend;;Low;Dev: fm10k: Driver Update;
SLE-19098;485413;;dkirjanov;Done;Could Have;;hreinecke;dkirjanov;;Medium;Dev: e1000e: Driver Update;
SLE-19096;485411;;tsbogend;Open;Could Have;;hreinecke;tsbogend;;Medium;Dev: ixgbevf: Driver Update;
SLE-19094;485409;;dkirjanov;Done;Could Have;;hreinecke;dkirjanov;;Medium;Dev: igb: Driver Update;
SLE-19088;485403;;tsbogend;Open;Could Have;;hreinecke;tsbogend;;Medium;Dev: igbvf: Driver Update;
SLE-19084;485399;;tsbogend;Done;Could Have;;hreinecke;NMoreyChaisemartin;;Low;Dev: irdma: Driver Update;
SLE-19078;485384;;tiwai;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: DSA: IDXD Add occupancy output to sysfs;
SLE-19066;485365;;;Planning;Must Have;;hreinecke;;;N/A;Dev: Add support for nvme-monitor;
SLE-19062;485361;;;Done;Could Have;;mhocko;;;N/A;Dev: Milan Features:  Virtualized PCID support for SVM;
SLE-19054;485353;;;Rejected;Should Have;;mhocko;;;N/A;Dev: AMD Rome and Milan: Use GHES_ASSIST to find System Physical Address for DRAM ECC errors;
SLE-19020;485304;;joeyli;Blocked;Should Have;;joeyli;none;;N/A;Dev: ACPI DSM LED Support;
SLE-19014;485298;;neilbrown;Done;Should Have;;goldwynr;;;Low;Dev: Support for creating extended attributes on NFS mounted filesystems;
SLE-18918;485171;;pgajdos;Done;Should Have;;kstreitova;pgajdos;;Low;Dev: Add PHP 8 to SLES 15+;
SLE-21337;492967;fcrozat;;Planning;Must Have;;dbanschbach;mlschroe;;N/A;Dev: reduce rpm package dependency;
SLE-21320;492859;LPechacek;mbenes;In Progress;Must Have;;mbenes;;;Low;Dev: Adapt Live patching to the new kernel;
SLE-21318;492851;Jeffreycheung;jirislaby;Done;Should Have;;mhocko;none;;Medium;Dev: Support PTDMA for NTB;
SLE-21290;492757;Jeffreycheung;duwe;Open;Could Have;;ptesarik;duwe;;N/A;Dev: [SLES15 SP4 Feat] Intel QAT Update - QATEngine ;
SLE-21284;492733;Jeffreycheung;duwe;Done;Could Have;;ptesarik;duwe;;N/A;Dev: [SLES15 SP4 Feat] Intel QAT Update - QATlib (User Space Changes);
SLE-21276;492685;suntorytimed;rwill;Open;Wish to Have;;BenniBrunner;rwill;;N/A;Dev: Customer wants ability to control which kernel the GRUB2 menu entry SLES 15-SP2 loads;
SLE-21272;492681;suntorytimed;sbrabec;In Progress;Wish to Have;;kstreitova;none;;Low;"Dev: Cleanup task: Drop translation-update-upstream, translation-update and gnome-patch-translation";
SLE-21260;492669;suntorytimed;sbrabec;In Progress;Should Have;;kstreitova;none;;Low;Dev: Update xscreensaver;
SLE-21226;492575;msmeissn;jsikes;Planning;Must Have;;pgonin;mosquetero;;N/A;Dev: FIPS: implement the IPSEC KDF for strongswan in openssl;
SLE-21221;492567;katiarojas;pmonrealgonzalez;Open;Must Have;;kstreitova;none;;High;Dev: FIPS 140-3: make GnuTLS and Libnettle module ready for certification process;
SLE-21219;492565;katiarojas;pmonrealgonzalez;Open;Must Have;;kstreitova;none;;Medium;Dev: FIPS 140-3: make Libgcrypt module ready for certification process;
SLE-21215;492561;katiarojas;hpjansson;Planning;Must Have;;sreeves1;none;;N/A;Dev: FIPS 140-3: make Mozilla-NSS module ready for certification process;
SLE-21213;492559;katiarojas;duwe;Planning;Must Have;;ptesarik;none;;N/A;Dev: FIPS 140-3: make Kernel module ready for certification process;
SLE-21211;492557;katiarojas;jsikes;Open;Must Have;;kstreitova;jsikes;;Critical;Dev: FIPS 140-3: make Openssl module ready for certification process;
SLE-21186;492383;;sbrabec;Done;Should Have;;kstreitova;sbrabec;;Low;Dev: Update argyllcms;
SLE-21183;492380;;sbrabec;Done;Could Have;;kstreitova;sbrabec;;Low;Dev: Update lcms2;
SLE-21168;492352;;tiwai;Done;Could Have;;ptesarik;tiwai;;N/A;Dev: ADL Thermal Support;
SLE-21164;492241;;;Rejected;Could Have;;sreeves1;none;;N/A;Dev: Create a WSL Landing and documentation page;
SLE-21151;492215;;;Open;Must Have;;claudiofontana;lyan;;N/A;Dev: KVM host secure boot support for VMs;
SLE-21118;492176;;;Planning;Could Have;;claudiofontana;;;N/A;Dev: ARMv8.5-GTG: VIRTUALIZATION EXTENSION: Guest Translation Granule Identification Mechanism;
SLE-21097;492069;;bpetkov;Done;Should Have;;mhocko;;;N/A;Dev:  [AMD  Feature] Genoa: 5-level page table updates;
SLE-21071;491983;;;Planning;Must Have;;kukuk;none;;N/A;Dev: [cryptsetup] Unlocking LUKS volumes with TPM2 or FIDO2 key;
SLE-21070;491982;;tsaupe;Open;Must Have;;BenniBrunner;none;;N/A;Dev: [dracut] Unlocking LUKS volumes with TPM2 or FIDO2 key;
SLE-21069;491981;;michael-chang;Open;Must Have;;BenniBrunner;none;;N/A;Dev: [grub2] Unlocking LUKS volumes with TPM2 or FIDO2 key;
SLE-21066;491978;;;Rejected;Must Have;;locilka;none;;N/A;Dev: [YaST] Unlocking LUKS volumes with TPM2 or FIDO2 key;
SLE-21061;491963;;;Open;Could Have;;locilka;none;;Medium;Dev: Simplify the YaST wireless configuration and support multiple networks;
SLE-21903;495297;suntorytimed;dspinella;Done;Wish to Have;;kstreitova;none;;Low;Dev: sle15sp4: Update hdparm to 9.62;
SLE-21892;495250;Jeffreycheung;bpetkov;Done;Could Have;;mhocko;none;;Low;Dev: Retrieve and print retry_rd_err_log registers for ICX;
SLE-21888;495192;suntorytimed;pperego;In Progress;Should Have;;smanolov;none;;N/A;Dev: Update pam_u2f to 1.1.1 (or later);
SLE-21884;495179;fcrozat;;Planning;Wish to Have;;yfjiang;qzhao;;N/A;Dev: Upgrade ibus >= 1.5.24 and all necessary ibus engines.;
SLE-21882;495177;fcrozat;;Planning;Wish to Have;;yfjiang;qzhao;;N/A;Dev: Upgrade plymouth to 20201026+53c83cc;
SLE-21880;495175;fcrozat;;Planning;Should Have;;sreeves1;alarrosa;;N/A;Dev: 15 SP4 xdg-utils update;
SLE-21878;495172;ihno;;Planning;Must Have;;sfent;none;;N/A;Dev: New package request: driverctl >= 0.111 (aka: Provide persistent vfio-ccw device assignments - driverctl part);
SLE-21871;495144;Jeffreycheung;;Planning;Could Have;;mhocko;;;N/A;Dev: Backport MEMORY_DEVICE_PUBLIC patches to SLES 15 SP4;
SLE-21857;495075;fcrozat;;Planning;Should Have;;sreeves1;jfkw;;N/A;Dev: Move helm to the containers module;
SLE-21855;495065;fcrozat;fbui;Done;Must Have;;BenniBrunner;fbui;;N/A;Dev: remove udev dependency in systemd main package;
SLE-21853;495053;horon;;Open;Must Have;;ptesarik;michals;;N/A;Dev: Avoid the need to reload kdump service on CPU DLPAR operations (kernel part);
SLE-21845;494785;a_faerber;ptesarik;Planning;Should Have;;ptesarik;none;;N/A;Dev: Driver for Firmware Framework (FF) for Arm A-profile processors;
SLE-21827;494752;fcrozat;henrix;Done;Must Have;;goldwynr;henrix;;N/A;Dev: Update fuse3 to the version >= 3.9.1;
SLE-21821;494743;suntorytimed;;Done;Could Have;;BenniBrunner;BenniBrunner;;N/A;Dev: Update libfastjson to 0.99.9;
